route,lag_days,model,pr_auc,brier,brier_skill,ece,recall_at_top20,precision_at_top20,false_alert_share_at_top20,false_positive_rate_at_top20,alert_rate,test_prevalence,pr_auc_gain,utility,hypothesis,control,status,compute_cost_units,train_rows,test_rows,test_events,cut_date,step,budget_remaining,action_id
local,7,logistic,0.09634934532358602,0.18319047447369188,-0.45831435293279243,0.22331971308161255,0.0,0.0,1.0,0.23529411764705882,0.2011173184357542,0.1452513966480447,-0.1368386432291821,-0.19883606417654198,local路径的7天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1602,179,26,2025-06-25,1,7,local__7d__logistic
local,7,random_forest,0.15861872612375416,0.27455076659096533,-1.1856012146843629,0.3347702704941845,0.3076923076923077,0.2222222222222222,0.7777777777777778,0.1830065359477124,0.2011173184357542,0.1452513966480447,-0.07456926242901396,-0.2223678974221595,local路径的7天热异常信号与HAB风险相关，由random_forest检验,none,negative,2.5,1602,179,26,2025-06-25,2,6,local__7d__random_forest
downstream,7,logistic,0.1700127016568082,0.13642599189062438,-0.08603890381735924,0.12845650045778606,0.2692307692307692,0.19444444444444445,0.8055555555555556,0.1895424836601307,0.2011173184357542,0.1452513966480447,-0.06317528689595991,-0.08320200230058515,downstream路径的7天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1602,179,26,2025-06-25,3,5,downstream__7d__logistic
downstream,14,logistic,0.6239106974651577,0.0782465983414427,0.38284944406204846,0.03889606092121233,0.7692307692307693,0.5555555555555556,0.4444444444444444,0.10596026490066225,0.2033898305084746,0.14689265536723164,0.3907227089123896,0.4220628502725338,downstream路径的14天热异常信号与HAB风险相关，由logistic检验,none,candidate,1.0,1587,177,26,2025-06-27,4,4,downstream__14d__logistic
downstream,14,random_forest,0.6060908160194354,0.08385208189164926,0.33863758868892135,0.0719893704745899,0.8076923076923077,0.5833333333333334,0.4166666666666667,0.09933774834437085,0.2033898305084746,0.14689265536723164,0.37290282746666725,0.3906671178118299,downstream路径的14天热异常信号与HAB风险相关，由random_forest检验,none,candidate,2.5,1587,177,26,2025-06-27,5,3,downstream__14d__random_forest
downstream,30,logistic,0.12014697809746283,0.1479014549782984,-0.14435788923971793,0.11005805763385365,0.038461538461538464,0.02857142857142857,0.9714285714285714,0.23129251700680273,0.2023121387283237,0.15028901734104047,-0.11304101045530529,-0.13797970226096978,downstream路径的30天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1551,173,26,2025-07-01,6,2,downstream__30d__logistic
downstream,21,logistic,0.17642202156564368,0.13790481870736057,-0.07757944433084218,0.1023345758331795,0.2692307692307692,0.2,0.8,0.18791946308724833,0.2,0.14857142857142858,-0.05676596698712444,-0.07464064021186764,downstream路径的21天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1572,175,26,2025-06-29,7,1,downstream__21d__logistic
downstream,3,logistic,0.11629009893800571,0.14610047054965522,-0.1685409089806431,0.10081715571966034,0.11538461538461539,0.08333333333333333,0.9166666666666666,0.21428571428571427,0.2,0.14444444444444443,-0.11689788961476241,-0.14379283829880973,downstream路径的3天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1611,180,26,2025-06-24,8,0,downstream__3d__logistic
