baseline,pr_auc,brier,brier_skill,ece,recall_at_top20,precision_at_top20,false_alert_share_at_top20,false_positive_rate_at_top20,alert_rate,test_prevalence
事件持续性,0.23318798855276812,0.11756453019508248,0.05966168273938488,0.04757476777937652,0.4230769230769231,0.3055555555555556,0.6944444444444444,0.16233766233766234,0.2,0.14444444444444443
季节气候态,0.10637247361487707,0.1374947118508597,-0.0997496078071225,0.09829145427953652,0.07692307692307693,0.05555555555555555,0.9444444444444444,0.22077922077922077,0.2,0.14444444444444443
