configuration,parameter_count,epochs,inner_validation_ap,inner_validation_brier,inner_validation_ece,inner_cut_date
TCN-119,119,60,0.5557941515302023,0.13188918724086138,0.17035846995164627,2025-03-13
TCN-119,119,90,0.5351415937510356,0.11991915933353296,0.1250965500881674,2025-03-13
TCN-119,119,150,0.5246777469241535,0.12688866714893626,0.12534685643816185,2025-03-13
TCN-119,119,120,0.522679820289316,0.1257630545609067,0.12261413572612202,2025-03-13
TCN-195,195,60,0.5013544920363607,0.13204359959672934,0.14272772399033543,2025-03-13
TCN-195,195,90,0.48567202401830306,0.13337708685583338,0.13538293222248388,2025-03-13
TCN-195,195,150,0.4709603725677574,0.13607588691904554,0.12989938371421858,2025-03-13
TCN-195,195,120,0.4674670025120386,0.13747338996663175,0.13585405376680743,2025-03-13
TCN-195,195,180,0.46563449784384503,0.13776905573984005,0.13212904566673495,2025-03-13
