control_name,route,lag_days,model,pr_auc,brier,brier_skill,ece,recall_at_top20,precision_at_top20,false_alert_share_at_top20,false_positive_rate_at_top20,alert_rate,test_prevalence,pr_auc_gain,utility,hypothesis,control,status,compute_cost_units,train_rows,test_rows,test_events,cut_date
反向路径,reversed,14,logistic,0.10469106624195601,0.16498630700079053,-0.3012884041728179,0.1615450301355036,0.038461538461538464,0.027777777777777776,0.9722222222222222,0.23178807947019867,0.2033898305084746,0.14689265536723164,-0.1284969223108121,-0.17170301423486908,reversed路径的14天热异常信号与HAB风险相关，由logistic检验,none,negative,1.0,1587,177,26,2025-06-27
区内时间置换,downstream,14,logistic,0.09358029220287684,0.1658701550001918,-0.3467279025505481,0.1944275348774648,0.0,0.0,1.0,0.23684210526315788,0.2033898305084746,0.14124293785310735,-0.13960769634989129,-0.18900186334881935,downstream路径的14天热异常信号与HAB风险相关，由logistic检验,within_region_time_permutation,negative,1.0,1588,177,25,2025-06-24
