model,split,AP_mean,AP_std,Brier_mean,Brier_std,ECE_mean,ECE_std,seconds_mean,seconds_std,top10_recall_mean,top10_recall_std
EcoFusion,spatial_test,0.24472062933291608,0.01190862833979954,0.017887182872065227,0.0005866571788783224,0.022568968046344996,0.003986205114297336,7.580137001666628,2.839650974822337,0.7301587301587302,0.027492869961410718
EcoFusion,test,0.16416987106490202,0.0035720720513120374,0.03719682955056294,0.00016888756036018525,0.015270556070960709,0.0015667704806386139,7.580137001666628,2.839650974822337,0.37763713080168776,0.0036541156277824648
EcoTemporalNet,spatial_test,0.2597138283930111,0.05497427123398849,0.018143903215989268,0.0007462782489117462,0.02103802497253122,4.983157339600227e-05,5.898853489666635,1.4182482584052787,0.6984126984126985,0.027492869961410787
EcoTemporalNet,test,0.15739429975368247,0.007073416708331355,0.037154471156004426,0.00021487537795054896,0.013949272715126583,0.0020679593865490465,5.898853489666635,1.4182482584052787,0.37341772151898733,0.006329113924050653
HistGradientBoosting,spatial_test,0.21334199932458808,0.0,0.01788831261851463,0.0,0.0195349554358141,0.0,1.6812835119999932,1.7339876117647812,0.9047619047619048,0.0
HistGradientBoosting,test,0.14370948440338005,0.0,0.03807384117865481,0.0,0.015085152970350466,0.0,1.6812835119999932,1.7339876117647812,0.34177215189873417,0.0
Logistic,spatial_test,0.21828478951458977,0.0,0.01746498072113369,0.0,0.01976959744455912,0.0,3.1358476690000052,0.5673191917858951,0.8095238095238096,0.0
Logistic,test,0.14331695739112674,0.0,0.03735524077528637,0.0,0.010337363288365249,0.0,3.1358476690000052,0.5673191917858951,0.37341772151898733,0.0
Persistence,spatial_test,0.034967409016838674,0.0,0.01976588481754311,0.0,0.015725876998953486,0.0,0.0,0.0,0.14285714285714285,0.0
Persistence,test,0.06844488311231597,0.0,0.038459483270667096,0.0,0.005670558535233909,0.0,0.0,0.0,0.34177215189873417,0.0
RandomForest,spatial_test,0.2646607291044367,0.024667226044883157,0.01809205761438668,0.0007093137303358774,0.02977924894981077,0.0011711082670499886,1.930440639999991,0.32512168101393313,0.9047619047619048,0.0
RandomForest,test,0.15371073437093954,0.006693060135155692,0.037099286078964455,0.0002156863094020941,0.01060889173826117,0.0005019277300155028,1.930440639999991,0.32512168101393313,0.38396624472573837,0.00730823125556485
Seasonal,spatial_test,0.08054509099504384,0.0,0.020602820334467777,0.0,0.018723539906912088,0.0,0.0,0.0,0.38095238095238093,0.0
Seasonal,test,0.05103441575683293,0.0,0.0424287177728376,0.0,0.043135182497327416,0.0,0.0,0.0,0.0759493670886076,0.0
