model,reference,seed,split,delta_ap_low,delta_ap_high,valid_replicates
EcoTemporalNet,Logistic,17,spatial_test,-0.15956065232149638,0.10755923756612741,493
EcoTemporalNet,RandomForest,17,spatial_test,-0.3044842708873136,0.0007099984722850382,493
EcoTemporalNet,HistGradientBoosting,17,spatial_test,-0.042933822047860455,0.13540921715433119,493
EcoFusion,Logistic,17,spatial_test,-0.13047364622957314,0.19070274180201333,493
EcoFusion,RandomForest,17,spatial_test,-0.16606017390487898,0.024796240139858684,493
EcoFusion,HistGradientBoosting,17,spatial_test,-0.003800592864492391,0.23533072634679822,493
EcoTemporalNet,Logistic,17,test,-0.021833421880386266,0.0478617820056801,500
EcoTemporalNet,RandomForest,17,test,-0.06233990170376822,0.036106724944799024,500
EcoTemporalNet,HistGradientBoosting,17,test,-0.04724776041460462,0.053779677210280846,500
EcoFusion,Logistic,17,test,-0.0035983175127468647,0.08107684281356449,500
EcoFusion,RandomForest,17,test,-0.027176307046867014,0.04341170468972,500
EcoFusion,HistGradientBoosting,17,test,-0.029888444142089254,0.08085011662479387,500
EcoTemporalNet,Logistic,42,spatial_test,-0.0003085139819416539,0.26596168059910974,490
EcoTemporalNet,RandomForest,42,spatial_test,-0.011514063209252185,0.2286954259802208,490
EcoTemporalNet,HistGradientBoosting,42,spatial_test,9.721744821634308e-06,0.30587137690671184,490
EcoFusion,Logistic,42,spatial_test,-0.046903949084937654,0.21159951353289255,490
EcoFusion,RandomForest,42,spatial_test,-0.04063172248648111,0.11070961530179886,490
EcoFusion,HistGradientBoosting,42,spatial_test,-3.608743657861176e-05,0.1999843645570379,490
EcoTemporalNet,Logistic,42,test,-0.009100310964186602,0.04459092185347639,500
EcoTemporalNet,RandomForest,42,test,-0.026505149154585204,0.05613969657125865,500
EcoTemporalNet,HistGradientBoosting,42,test,-0.02837038352028396,0.06130325721475845,500
EcoFusion,Logistic,42,test,-0.0011875827116528334,0.06562217159391717,500
EcoFusion,RandomForest,42,test,-0.009256406696017187,0.05126059187107666,500
EcoFusion,HistGradientBoosting,42,test,-0.02057690146551569,0.07424486151225396,500
EcoTemporalNet,Logistic,73,spatial_test,-0.08879446741944082,0.2142857142857142,495
EcoTemporalNet,RandomForest,73,spatial_test,-0.3532967032967032,0.07006982678887481,495
EcoTemporalNet,HistGradientBoosting,73,spatial_test,0.0001901552063238054,0.22533298978110183,495
EcoFusion,Logistic,73,spatial_test,-0.1320887629122112,0.1669254956555193,495
EcoFusion,RandomForest,73,spatial_test,-0.40541666666666665,0.03854164401514907,495
EcoFusion,HistGradientBoosting,73,spatial_test,-0.004598425957492891,0.19112707039337457,495
EcoTemporalNet,Logistic,73,test,-0.016332894407463362,0.03665636667501252,499
EcoTemporalNet,RandomForest,73,test,-0.04078673292610576,0.041317404896591865,499
EcoTemporalNet,HistGradientBoosting,73,test,-0.03820887279104204,0.04758683560685644,499
EcoFusion,Logistic,73,test,-0.004061785090179913,0.06114574452399335,499
EcoFusion,RandomForest,73,test,-0.01677855990861282,0.04058211886490477,499
EcoFusion,HistGradientBoosting,73,test,-0.030030311364921777,0.06750555685694046,499
