sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
habsos_30d:263:-819:1955-06-16,263:-819,1955-06-16,1955-07-19,0,26.36,-81.86,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-06-17,264:-820,1955-06-17,1955-07-18,0,26.46165,-81.9608,NOAA_HABSOS,0,0.0
habsos_30d:264:-821:1955-06-17,264:-821,1955-06-17,1955-07-18,0,26.4867,-82.07,NOAA_HABSOS,0,0.0
habsos_30d:267:-822:1955-06-17,267:-822,1955-06-17,1955-07-18,0,26.7067,-82.165,NOAA_HABSOS,0,0.0
habsos_30d:263:-821:1955-06-20,263:-821,1955-06-20,1955-07-22,0,26.3033,-82.075,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-06-20,264:-820,1955-06-20,1955-07-22,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:261:-819:1955-06-21,261:-819,1955-06-21,1955-07-22,0,26.1367,-81.8833,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-06-21,264:-820,1955-06-21,1955-07-22,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:259:-818:1955-06-22,259:-818,1955-06-22,1955-07-25,0,25.9683,-81.7267,NOAA_HABSOS,0,0.0
habsos_30d:260:-818:1955-06-22,260:-818,1955-06-22,1955-07-25,0,26.0983,-81.795,NOAA_HABSOS,0,0.0
habsos_30d:262:-819:1955-06-22,262:-819,1955-06-22,1955-07-25,0,26.27085,-81.82335,NOAA_HABSOS,0,0.0
habsos_30d:263:-819:1955-06-22,263:-819,1955-06-22,1955-07-25,0,26.36,-81.86,NOAA_HABSOS,0,0.0
habsos_30d:264:-820:1955-06-27,264:-820,1955-06-27,1955-07-27,0,26.41,-81.9617,NOAA_HABSOS,0,0.0
habsos_30d:264:-821:1955-07-02,264:-821,1955-07-02,1955-08-02,0,26.4867,-82.07,NOAA_HABSOS,0,0.0
habsos_30d:267:-822:1955-07-02,267:-822,1955-07-02,1955-08-02,0,26.7067,-82.165,NOAA_HABSOS,0,0.0
habsos_30d:271:-825:1955-07-11,271:-825,1955-07-11,1955-08-11,0,27.13276666666667,-82.47056666666667,NOAA_HABSOS,0,0.0
habsos_30d:272:-826:1955-07-11,272:-826,1955-07-11,1955-08-11,0,27.251649999999998,-82.535,NOAA_HABSOS,0,0.0
habsos_30d:274:-827:1955-07-11,274:-827,1955-07-11,1955-08-10,0,27.46165,-82.69335000000001,NOAA_HABSOS,0,0.0
habsos_30d:260:-818:1955-07-13,260:-818,1955-07-13,1955-08-12,0,26.0983,-81.795,NOAA_HABSOS,0,0.0
