model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
EcoFusion,17,test,6.854054095999913,3284.0,3863,158,0.04090085425834843,0.16060145096836953,0.03732813137905394,0.016084150053771104,0.7897162575377099,0.37341772151898733,0.1524547803617571,0.9225990163085684,0.0,0.04452498058503754,0.9,0.19341518708973585
EcoFusion,17,spatial_test,6.854054095999913,3284.0,1052,21,0.019961977186311788,0.23445680291875837,0.018372414461126106,0.026040101816988757,0.8871645651471065,0.7142857142857143,0.14150943396226415,0.9258555133079848,0.0,0.06653992395437262,0.9,0.19341518708973585
Seasonal,42,test,0.0,12.0,3863,158,0.04090085425834843,0.05103441575683293,0.04242871777283759,0.04313518249732741,0.5627837851688617,0.0759493670886076,0.031007751937984496,0.9590991457416516,0.0,0.0,0.9,0.2170439514589637
Seasonal,42,spatial_test,0.0,12.0,1052,21,0.019961977186311788,0.08054509099504384,0.020602820334467777,0.018723539906912088,0.8087617200129323,0.38095238095238093,0.07547169811320754,0.9800380228136882,0.0,0.0,0.9,0.2170439514589637
Persistence,42,test,0.0,1.0,3863,158,0.04090085425834843,0.06844488311231597,0.038459483270667096,0.00567055853523391,0.5792078785083448,0.34177215189873417,0.13953488372093023,0.9228578824747605,0.0,0.044266114418845454,0.9,0.031007392858353126
Persistence,42,spatial_test,0.0,1.0,1052,21,0.019961977186311788,0.034967409016838674,0.01976588481754311,0.015725876998953486,0.5612442843286684,0.14285714285714285,0.02830188679245283,0.9600760456273765,0.0,0.022813688212927757,0.9,0.031007392858353126
Logistic,42,test,2.5155295100000217,73.0,3863,158,0.04090085425834843,0.14331695739112674,0.03735524077528637,0.010337363288365249,0.7753583081364559,0.37341772151898733,0.1524547803617571,0.9303650012943309,0.0,0.036758995599275174,0.9,0.12178117191409457
Logistic,42,spatial_test,2.5155295100000217,73.0,1052,21,0.019961977186311788,0.21828478951458977,0.01746498072113369,0.01976959744455912,0.88855018243961,0.8095238095238095,0.16037735849056603,0.9534220532319392,0.0,0.0370722433460076,0.9,0.12178117191409457
RandomForest,42,test,1.782611400999997,,3863,158,0.04090085425834843,0.14836117091452805,0.03722301175229782,0.010891299137701602,0.7816617981174944,0.379746835443038,0.15503875968992248,0.9119855034946932,0.0,0.057209422728449394,0.9,0.15719269051239104
RandomForest,42,spatial_test,1.782611400999997,,1052,21,0.019961977186311788,0.2869591857043948,0.01734397196013234,0.028498423851434102,0.903191538497067,0.9047619047619048,0.1792452830188679,0.9106463878326996,0.0,0.08745247148288973,0.9,0.15719269051239104
HistGradientBoosting,42,test,0.8631952979999937,,3863,158,0.04090085425834843,0.14370948440338005,0.03807384117865481,0.015085152970350466,0.7832265669041152,0.34177215189873417,0.13953488372093023,0.9192337561480715,0.0,0.04840797307791871,0.9,0.15701068162687115
HistGradientBoosting,42,spatial_test,0.8631952979999937,,1052,21,0.019961977186311788,0.21334199932458808,0.01788831261851463,0.0195349554358141,0.8864717565008545,0.9047619047619048,0.1792452830188679,0.9296577946768061,0.0,0.06368821292775666,0.9,0.15701068162687115
EcoTemporalNet,42,test,4.310827984000014,1004.0,3863,158,0.04090085425834843,0.16420770018826406,0.03692901202600775,0.01280770844084733,0.7946343463332138,0.379746835443038,0.15503875968992248,0.9189748899818794,0.0,0.04918457157649495,0.9,0.16886288353700163
EcoTemporalNet,42,spatial_test,4.310827984000014,1004.0,1052,21,0.019961977186311788,0.31500797224840554,0.017340312311181584,0.02098048933513835,0.8755715671331579,0.7142857142857143,0.14150943396226415,0.9306083650190115,0.0,0.06273764258555133,0.9,0.16886288353700163
EcoFusion,42,test,5.174023282000007,1004.0,3863,158,0.04090085425834843,0.16774558390433603,0.03700630718072968,0.013464359793307446,0.7952510292283776,0.379746835443038,0.15503875968992248,0.9213046854776081,0.0,0.04607817758219001,0.9,0.17753172686573956
EcoFusion,42,spatial_test,5.174023282000007,1004.0,1052,21,0.019961977186311788,0.25777755543843905,0.017235202479330983,0.018215529129587554,0.8813911597616738,0.7619047619047619,0.1509433962264151,0.935361216730038,0.0,0.058935361216730035,0.9,0.17753172686573956
Seasonal,73,test,0.0,12.0,3863,158,0.04090085425834843,0.05103441575683293,0.04242871777283759,0.04313518249732741,0.5627837851688617,0.0759493670886076,0.031007751937984496,0.9590991457416516,0.0,0.0,0.9,0.2170439514589637
Seasonal,73,spatial_test,0.0,12.0,1052,21,0.019961977186311788,0.08054509099504384,0.020602820334467777,0.018723539906912088,0.8087617200129323,0.38095238095238093,0.07547169811320754,0.9800380228136882,0.0,0.0,0.9,0.2170439514589637
Persistence,73,test,0.0,1.0,3863,158,0.04090085425834843,0.06844488311231597,0.038459483270667096,0.00567055853523391,0.5792078785083448,0.34177215189873417,0.13953488372093023,0.9228578824747605,0.0,0.044266114418845454,0.9,0.031007392858353126
Persistence,73,spatial_test,0.0,1.0,1052,21,0.019961977186311788,0.034967409016838674,0.01976588481754311,0.015725876998953486,0.5612442843286684,0.14285714285714285,0.02830188679245283,0.9600760456273765,0.0,0.022813688212927757,0.9,0.031007392858353126
Logistic,73,test,3.6283665619999965,73.0,3863,158,0.04090085425834843,0.14331695739112674,0.03735524077528637,0.010337363288365249,0.7753583081364559,0.37341772151898733,0.1524547803617571,0.9303650012943309,0.0,0.036758995599275174,0.9,0.12178117191409457
Logistic,73,spatial_test,3.6283665619999965,73.0,1052,21,0.019961977186311788,0.21828478951458977,0.01746498072113369,0.01976959744455912,0.88855018243961,0.8095238095238095,0.16037735849056603,0.9534220532319392,0.0,0.0370722433460076,0.9,0.12178117191409457
RandomForest,73,test,2.303209729999992,,3863,158,0.04090085425834843,0.1515550210839134,0.03722461178997671,0.010905998421391377,0.7865696373357932,0.3924050632911392,0.16020671834625322,0.9153507636551903,0.0,0.053067564069376134,0.9,0.15845377293632532
RandomForest,73,spatial_test,2.303209729999992,,1052,21,0.019961977186311788,0.2688593399257868,0.018754894240732498,0.03079530744091666,0.8970948224100502,0.9047619047619048,0.1792452830188679,0.8944866920152091,0.0,0.10361216730038023,0.9,0.15845377293632532
HistGradientBoosting,73,test,3.6729715440000064,,3863,158,0.04090085425834843,0.14370948440338005,0.03807384117865481,0.015085152970350466,0.7832265669041152,0.34177215189873417,0.13953488372093023,0.9192337561480715,0.0,0.04840797307791871,0.9,0.15701068162687115
HistGradientBoosting,73,spatial_test,3.6729715440000064,,1052,21,0.019961977186311788,0.21334199932458808,0.01788831261851463,0.0195349554358141,0.8864717565008545,0.9047619047619048,0.1792452830188679,0.9296577946768061,0.0,0.06368821292775666,0.9,0.15701068162687115
EcoTemporalNet,73,test,7.039362082999958,1004.0,3863,158,0.04090085425834843,0.15788842058050967,0.03717749250746997,0.016336391627256815,0.7884760586959121,0.37341772151898733,0.1524547803617571,0.9223401501423764,0.0,0.046595909914574164,0.9,0.180928837007538
EcoTemporalNet,73,spatial_test,7.039362082999958,1004.0,1052,21,0.019961977186311788,0.2590683997334992,0.018276231660984847,0.021066141999811,0.8788970486351669,0.7142857142857143,0.14150943396226415,0.9220532319391636,0.0,0.07129277566539924,0.9,0.180928837007538
EcoFusion,73,test,10.712333626999964,1004.0,3863,158,0.04090085425834843,0.16416257832200057,0.0372560500919052,0.016263158365803575,0.7920873263977861,0.379746835443038,0.15503875968992248,0.9254465441366814,0.0,0.04141858659073259,0.9,0.19364859042702687
EcoFusion,73,spatial_test,10.712333626999964,1004.0,1052,21,0.019961977186311788,0.24192752964155084,0.018053931675738592,0.02345127319245868,0.8867950672024386,0.7142857142857143,0.14150943396226415,0.9306083650190115,0.0,0.06273764258555133,0.9,0.19364859042702687
