model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
Seasonal,17,test,0.0,12.0,3863,158,0.04090085425834843,0.05103441575683293,0.04242871777283759,0.04313518249732741,0.5627837851688617,0.0759493670886076,0.031007751937984496,0.9590991457416516,0.0,0.0,0.9,0.2170439514589637
Seasonal,17,spatial_test,0.0,12.0,1052,21,0.019961977186311788,0.08054509099504384,0.020602820334467777,0.018723539906912088,0.8087617200129323,0.38095238095238093,0.07547169811320754,0.9800380228136882,0.0,0.0,0.9,0.2170439514589637
Persistence,17,test,0.0,1.0,3863,158,0.04090085425834843,0.06844488311231597,0.038459483270667096,0.00567055853523391,0.5792078785083448,0.34177215189873417,0.13953488372093023,0.9228578824747605,0.0,0.044266114418845454,0.9,0.031007392858353126
Persistence,17,spatial_test,0.0,1.0,1052,21,0.019961977186311788,0.034967409016838674,0.01976588481754311,0.015725876998953486,0.5612442843286684,0.14285714285714285,0.02830188679245283,0.9600760456273765,0.0,0.022813688212927757,0.9,0.031007392858353126
Logistic,17,test,3.263646934999997,73.0,3863,158,0.04090085425834843,0.14331695739112674,0.03735524077528637,0.010337363288365249,0.7753583081364559,0.37341772151898733,0.1524547803617571,0.9303650012943309,0.0,0.036758995599275174,0.9,0.12178117191409457
Logistic,17,spatial_test,3.263646934999997,73.0,1052,21,0.019961977186311788,0.21828478951458977,0.01746498072113369,0.01976959744455912,0.88855018243961,0.8095238095238095,0.16037735849056603,0.9534220532319392,0.0,0.0370722433460076,0.9,0.12178117191409457
RandomForest,17,test,1.7055007889999843,,3863,158,0.04090085425834843,0.1612160111143772,0.03685023469461884,0.01002937765569053,0.7907719639898187,0.379746835443038,0.15503875968992248,0.917680559150919,0.0,0.050737768573647424,0.9,0.15816234679383184
RandomForest,17,spatial_test,1.7055007889999843,,1052,21,0.019961977186311788,0.23816366168312858,0.0181773066422952,0.030044015557081548,0.9003741166689759,0.9047619047619048,0.1792452830188679,0.8982889733840305,0.0,0.09980988593155894,0.9,0.15816234679383184
HistGradientBoosting,17,test,0.5076836939999794,,3863,158,0.04090085425834843,0.14370948440338005,0.03807384117865481,0.015085152970350466,0.7832265669041152,0.34177215189873417,0.13953488372093023,0.9192337561480715,0.0,0.04840797307791871,0.9,0.15701068162687115
HistGradientBoosting,17,spatial_test,0.5076836939999794,,1052,21,0.019961977186311788,0.21334199932458808,0.01788831261851463,0.0195349554358141,0.8864717565008545,0.9047619047619048,0.1792452830188679,0.9296577946768061,0.0,0.06368821292775666,0.9,0.15701068162687115
EcoTemporalNet,17,test,6.346370401999934,3284.0,3863,158,0.04090085425834843,0.1500867784922737,0.03735690893453557,0.012703718077275605,0.7827414202497482,0.3670886075949367,0.14987080103359174,0.920786953145224,0.0,0.04711364224695832,0.9,0.19028063815658008
EcoTemporalNet,17,spatial_test,6.346370401999934,3284.0,1052,21,0.019961977186311788,0.20506511319712845,0.018815165675801365,0.021067443582644316,0.8763567502655767,0.6666666666666666,0.1320754716981132,0.9287072243346007,0.0,0.06368821292775666,0.9,0.19028063815658008
