model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Seasonal,17,test,2020,285,35,0.12280701754385964,0.10476190476190476,0.13219594703087623,0.17011678519998638,0.2972,0.0,0.0
Seasonal,17,test,2021,773,70,0.09055627425614489,0.07910303481806913,0.09040322087273746,0.08613713699150538,0.42707782970940866,0.05714285714285714,0.05128205128205128
Seasonal,17,test,2022,33,0,0.0,,0.0005979608318346677,0.018699942774448426,,,0.0
Seasonal,17,test,2023,14,0,0.0,,0.0030744291336128435,0.02593932200195078,,,0.0
Seasonal,17,test,2024,993,39,0.03927492447129909,0.0707512539760131,0.042383714921379115,0.04861809315702224,0.6878460463366124,0.20512820512820512,0.08
Seasonal,17,test,2025,994,14,0.014084507042253521,0.044810970255783567,0.014163419421167611,0.007551662074038304,0.80783527696793,0.07142857142857142,0.01
Seasonal,17,test,2026,771,0,0.0,,0.00015092033872199438,0.0046908039837688445,,,0.0
Seasonal,17,spatial_test,2020,102,0,0.0,,0.017087760680420422,0.08997204376635355,,,0.0
Seasonal,17,spatial_test,2021,195,2,0.010256410256410256,0.009096459096459095,0.010657061789645709,0.005206381656978671,0.2629533678756477,0.0,0.0
Seasonal,17,spatial_test,2022,8,0,0.0,,0.0010189352739218677,0.027480407878802647,,,0.0
Seasonal,17,spatial_test,2023,2,0,0.0,,0.023554053761333935,0.10860952249823747,,,0.0
Seasonal,17,spatial_test,2024,329,17,0.05167173252279635,0.2158989645704646,0.04596125601521593,0.03826105585490817,0.8493589743589743,0.47058823529411764,0.24242424242424243
Seasonal,17,spatial_test,2025,249,2,0.008032128514056224,0.029411764705882353,0.010648005884601932,0.01539371296786842,0.8117408906882592,0.0,0.0
Seasonal,17,spatial_test,2026,167,0,0.0,,0.0001510303562295523,0.00483041985793534,,,0.0
Persistence,17,test,2020,285,35,0.12280701754385964,0.18379949874686713,0.10800335526953606,0.07380311402793499,0.5965714285714285,0.2571428571428571,0.3103448275862069
Persistence,17,test,2021,773,70,0.09055627425614489,0.0920626753582769,0.08736467338575318,0.06667876578944237,0.5080979475716318,0.12857142857142856,0.11538461538461539
Persistence,17,test,2022,33,0,0.0,,0.000961458411872247,0.03100739285835313,,,0.0
Persistence,17,test,2023,14,0,0.0,,0.0009614584118722467,0.03100739285835313,,,0.0
Persistence,17,test,2024,993,39,0.03927492447129909,0.08002722353175526,0.03650749336987703,0.005375041078254707,0.5593855829704887,0.1282051282051282,0.05
Persistence,17,test,2025,994,14,0.014084507042253521,0.1148797547187889,0.013186211097652327,0.025591627569465047,0.7683673469387755,0.9285714285714286,0.13
Persistence,17,test,2026,771,0,0.0,,0.0011036469557324363,0.031539585391417505,,,0.0
Persistence,17,spatial_test,2020,102,0,0.0,,0.001498847467343847,0.03301876757890525,,,0.0
Persistence,17,spatial_test,2021,195,2,0.010256410256410256,0.010256410256410256,0.011425107024902488,0.023907293701886188,0.49222797927461137,0.0,0.0
Persistence,17,spatial_test,2022,8,0,0.0,,0.0009614584118722469,0.031007392858353126,,,0.0
Persistence,17,spatial_test,2023,2,0,0.0,,0.0009614584118722469,0.031007392858353126,,,0.0
Persistence,17,spatial_test,2024,329,17,0.05167173252279635,0.0523086894332201,0.05084731597525527,0.02757862572951418,0.5053733031674208,0.058823529411764705,0.030303030303030304
Persistence,17,spatial_test,2025,249,2,0.008032128514056224,0.5,0.006080270770160352,0.034747553385051574,0.9959514170040487,1.0,0.08
Persistence,17,spatial_test,2026,167,0,0.0,,0.0009614584118722464,0.031007392858353126,,,0.0
Logistic,17,test,2020,285,35,0.12280701754385964,0.20550605894475693,0.11241768503890134,0.08491189528749203,0.6042285714285713,0.22857142857142856,0.27586206896551724
Logistic,17,test,2021,773,70,0.09055627425614489,0.10408639357377189,0.08575481557855924,0.06486081803606336,0.5952448689290795,0.07142857142857142,0.0641025641025641
Logistic,17,test,2022,33,0,0.0,,0.0001406331763865903,0.009115503455842949,,,0.0
Logistic,17,test,2023,14,0,0.0,,0.00017082847755549389,0.010975724157255281,,,0.0
Logistic,17,test,2024,993,39,0.03927492447129909,0.32060312087720955,0.032653852624740354,0.013269678462464265,0.8803418803418803,0.6666666666666666,0.26
Logistic,17,test,2025,994,14,0.014084507042253521,0.12611596944650325,0.013313318699391112,0.01622479764703083,0.8776239067055394,0.6428571428571429,0.09
Logistic,17,test,2026,771,0,0.0,,0.0004021212704923565,0.015763296086217956,,,0.0
Logistic,17,spatial_test,2020,102,0,0.0,,0.0016052328882000194,0.033613503670488085,,,0.0
