model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
LLM,17,test,1110.608531758,494032768,312,91,0.2916666666666667,0.49924909282990465,0.1921895800924493,0.09702829973209234,0.704390631992442,0.23076923076923078,0.65625,0.9519230769230769,0.7147435897435898,0.0,0.9,0.7456210417666106
LLM+EcoFusion,17,test,1110.608531758,494032768,312,91,0.2916666666666667,0.600172932637721,0.16450113842831632,0.04998711393709476,0.7592859629058725,0.27472527472527475,0.78125,0.8942307692307693,0.3173076923076923,0.0,0.9,0.7169393477560938
LLM,42,test,1110.608531758,494032768,312,91,0.2916666666666667,0.49924909282990465,0.1921895800924493,0.09702829973209234,0.704390631992442,0.23076923076923078,0.65625,0.9519230769230769,0.7147435897435898,0.0,0.9,0.7456210417666106
LLM+EcoFusion,42,test,1110.608531758,494032768,312,91,0.2916666666666667,0.6180097339573598,0.16143489738987354,0.053821165107856325,0.7631147133409577,0.2857142857142857,0.8125,0.8942307692307693,0.3269230769230769,0.0,0.9,0.7132942105759617
LLM,73,test,1110.608531758,494032768,312,91,0.2916666666666667,0.49924909282990465,0.1921895800924493,0.09702829973209234,0.704390631992442,0.23076923076923078,0.65625,0.9519230769230769,0.7147435897435898,0.0,0.9,0.7456210417666106
LLM+EcoFusion,73,test,1110.608531758,494032768,312,91,0.2916666666666667,0.6050754085315332,0.16416743666322403,0.040192258385553424,0.7616229923922232,0.2967032967032967,0.84375,0.8846153846153846,0.2948717948717949,0.0,0.9,0.7140045910366064
