model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
Seasonal,17,test,0.0,12.0,7010,252,0.035948644793152636,0.05202960084591937,0.03840650380578924,0.04452898675285166,0.5969814728693095,0.07936507936507936,0.028530670470756064,0.9223965763195435,0.0,0.04379457917261056,0.9,0.19369332749368257
Seasonal,17,spatial_test,0.0,12.0,1468,44,0.02997275204359673,0.062060163047964995,0.031500457440883804,0.03541799400486745,0.6078348442288048,0.22727272727272727,0.06802721088435375,0.9209809264305178,0.0,0.055858310626702996,0.9,0.19369332749368257
Persistence,17,test,0.0,1.0,7010,252,0.035948644793152636,0.2502004071089052,0.028629493503869983,0.013815141445153542,0.733985470482955,0.5674603174603174,0.20399429386590584,0.9446504992867333,0.0,0.0369472182596291,0.9,0.012005634466281834
Persistence,17,spatial_test,0.0,1.0,1468,44,0.02997275204359673,0.1645281149368343,0.02718983762488776,0.01457991666194789,0.673391215526047,0.38636363636363635,0.11564625850340136,0.9536784741144414,0.0,0.027247956403269755,0.9,0.012005634466281834
Logistic,17,test,0.630226236999988,73.0,7010,252,0.035948644793152636,0.3819357320637733,0.026396646975972653,0.004787329534717272,0.9296865091108951,0.746031746031746,0.268188302425107,0.8457917261055635,0.0,0.14935805991440798,0.9,0.02489865182332936
Logistic,17,spatial_test,0.630226236999988,73.0,1468,44,0.02997275204359673,0.3860915298641373,0.021697884621152463,0.0057794898476875335,0.9360795454545454,0.7954545454545454,0.23809523809523808,0.8596730245231607,0.0,0.1369209809264305,0.9,0.02489865182332936
RandomForest,17,test,3.3612336179999147,,7010,252,0.035948644793152636,0.34710981946759184,0.027500150291927105,0.012709943253803929,0.9229537479389506,0.7301587301587301,0.2624821683309558,0.8500713266761769,0.0,0.14365192582025677,0.9,0.036527758542868105
RandomForest,17,spatial_test,3.3612336179999147,,1468,44,0.02997275204359673,0.34767816447065614,0.026496736812373974,0.029238675494734915,0.8974080694586313,0.8181818181818182,0.24489795918367346,0.6376021798365122,0.0,0.3583106267029973,0.9,0.036527758542868105
HistGradientBoosting,17,test,0.6249595889999,,7010,252,0.035948644793152636,0.3684828266225155,0.026991064650144832,0.010427961178352306,0.9300711208820117,0.7380952380952381,0.2653352353780314,0.8579172610556348,0.0,0.13509272467902997,0.9,0.037078195317695746
HistGradientBoosting,17,spatial_test,0.6249595889999,,1468,44,0.02997275204359673,0.38096263247816964,0.023526103633557928,0.014891834328257449,0.9362551072522982,0.8181818181818182,0.24489795918367346,0.8678474114441417,0.0,0.12670299727520437,0.9,0.037078195317695746
EcoTemporalNet,17,test,13.620057951000035,6844.0,7010,252,0.035948644793152636,0.3990076646558703,0.026211234665294448,0.009291870313759455,0.9216959793683677,0.746031746031746,0.268188302425107,0.8362339514978602,0.0,0.15905848787446505,0.9,0.017224062500209435
EcoTemporalNet,17,spatial_test,13.620057951000035,6844.0,1468,44,0.02997275204359673,0.3925971502122684,0.022762452077554795,0.014656512905938272,0.9437085035750766,0.7954545454545454,0.23809523809523808,0.8603542234332425,0.0,0.1369209809264305,0.9,0.017224062500209435
EcoFusion,17,test,14.245017539999935,6844.0,7010,252,0.035948644793152636,0.3825954427219921,0.02629312834314166,0.008619759706054156,0.9313547259685172,0.75,0.26961483594864477,0.8445078459343794,0.0,0.15049928673323823,0.9,0.02255112947992941
