model,split,AP_mean,AP_std,Brier_mean,Brier_std,ECE_mean,ECE_std,seconds_mean,seconds_std,top10_recall_mean,top10_recall_std
EcoFusion,spatial_test,0.3842681064909952,0.001578736658853875,0.02288237554830484,0.0001268974001380618,0.009897511235405677,0.0017058245519767405,14.704636063000029,2.2073274953554196,0.7954545454545454,0.0
EcoFusion,test,0.38282391344202454,0.0032830326852906766,0.02630085976846234,4.0160709193677635e-05,0.008505657810550972,0.000710461030726004,14.704636063000029,2.2073274953554196,0.7486772486772487,0.002291072496784213
EcoTemporalNet,spatial_test,0.3913231702439766,0.003080293493257833,0.02268794735125319,0.0001854680273680385,0.011679836426891327,0.002581876665775274,12.67229681266675,0.8436512072255715,0.8030303030303031,0.013121597027037017
EcoTemporalNet,test,0.3958390717716653,0.01164843491505367,0.02629776616240499,0.0001852174928706496,0.009074079632393135,0.0010699489345366872,12.67229681266675,0.8436512072255715,0.7447089947089948,0.002291072496784237
HistGradientBoosting,spatial_test,0.38096263247816964,0.0,0.02352610363355793,0.0,0.014891834328257449,0.0,2.03233925033328,2.32170869558475,0.8181818181818182,0.0
HistGradientBoosting,test,0.3684828266225155,0.0,0.026991064650144832,0.0,0.010427961178352306,0.0,2.03233925033328,2.32170869558475,0.7380952380952381,0.0
Logistic,spatial_test,0.38609152986413725,0.0,0.021697884621152463,0.0,0.0057794898476875335,0.0,0.8794449249999919,0.2801129842915567,0.7954545454545454,0.0
Logistic,test,0.3819357320637733,0.0,0.02639664697597265,0.0,0.004787329534717272,0.0,0.8794449249999919,0.2801129842915567,0.746031746031746,0.0
Persistence,spatial_test,0.1645281149368343,0.0,0.02718983762488776,0.0,0.01457991666194789,0.0,0.0,0.0,0.3863636363636364,0.0
Persistence,test,0.2502004071089052,0.0,0.028629493503869983,0.0,0.013815141445153542,0.0,0.0,0.0,0.5674603174603174,0.0
RandomForest,spatial_test,0.35590033932976883,0.010223303593561503,0.025599235162837557,0.000813463530264888,0.026657932197984336,0.0036568995276770795,3.3806269469999584,0.05288962186448244,0.8257575757575758,0.013121597027036937
RandomForest,test,0.3484579513922889,0.0014445345572495641,0.02747388973261022,8.286758804097512e-05,0.011145067787829532,0.0013592207280869982,3.3806269469999584,0.05288962186448244,0.7301587301587301,0.003968253968253954
Seasonal,spatial_test,0.062060163047964995,0.0,0.031500457440883804,0.0,0.03541799400486745,0.0,0.0,0.0,0.22727272727272727,0.0
Seasonal,test,0.05202960084591937,0.0,0.03840650380578924,0.0,0.04452898675285166,0.0,0.0,0.0,0.07936507936507936,0.0
