source_row,site_number,sample_date,location,sample_number,sampler,depth,latitude,longitude,k_brevisulcata_cells_l,k_brevisulcata_reported_not_detected,k_mikimotoi_cells_l,k_mikimotoi_reported_not_detected,k_papilionacea_cells_l,k_papilionacea_reported_not_detected,k_longicanalis_cells_l,k_longicanalis_reported_not_detected,k_brevis_cells_l,k_brevis_reported_not_detected,k_cristata_cells_l,k_cristata_reported_not_detected,k_hui_cells_l,k_hui_reported_not_detected,karenia_total_cells_l,karenia_species_detected,k_cristata_detected,k_cristata_share,nearest_grid_latitude,nearest_grid_longitude,source_record,source_license
17,10,2025-06-13,"Emu Bay, Kangaroo Island",AB Farm 2 Sth 4-18B 13/6/2025,"PIRSA, Clinton Wilkinson",Surface,-35.5903931121973,137.506357977241,0.0,False,6865.260212,False,463.6134377,False,0.0,False,0.0,True,0.0,False,0.0,True,7328.8736497,2,False,0.0,-35.625,137.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
18,11,2025-06-27,SARDI S/W Intakes,PI sample surface 1 m 27/6/2025,SARDI,1m,-34.95765,138.4894,2909.375879,False,55826.40984,False,22642.72851,False,1517.23949,False,0.0,True,526363.157,False,0.0,True,609258.910719,5,True,0.86394002244272,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
19,16,2025-07-07,Stansbury (slick on water),STANS slick on water 7/7/2025,"PIRSA, Clinton Wilkinson",Integrated tube (4m),-34.889408333333336,137.84047222222222,40319.45549,False,27525.30012,False,0.0,False,0.0,False,0.0,True,15015439.54,False,0.0,True,15083284.29561,3,True,0.9955019905293606,-34.875,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
20,12,2025-07-09,Ardrossan Jetty,"ARDOSSAN S34.251402, E137.55370, 9/7/2025","PIRSA, Clinton Wilkinson",Surface,-34.4249163760898,137.925404012443,6895.106111,False,51084.80768,False,0.0,False,5627.499728,False,0.0,True,1571128.876,False,0.0,True,1634736.2895189999,4,True,0.9610901073605483,-34.375,137.875,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
21,13,2025-07-14,Port River Dock,SP13357,SA EPA,Surface,-34.761,138.51,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.875,138.625,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
22,14,2025-07-14,West Lakes Inlet,SP 2381,SA EPA,Surface,-34.878,138.486,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.875,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
23,32,2025-07-16,Gulf St Vincent,SA 036,SARDI FPV Southern Ranger,1m,-34.531,138.049,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.625,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
24,32,2025-07-16,Gulf St Vincent,SARDI 036,SARDI FPV Southern Ranger,1m,-34.531,138.049,5.214793077,False,0.0,False,0.0,True,0.0,False,0.0,True,36281.80691,False,0.0,True,36287.021703077,2,True,0.9998562904081886,-34.625,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
25,33,2025-07-16,Gulf St Vincent,SA 066,SARDI FPV Southern Ranger,1m,-34.63,138.113,0.0,True,0.003258304,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.003258304,1,False,0.0,-34.625,138.125,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
26,34,2025-07-16,Gulf St Vincent,SA 090,SARDI FPV Southern Ranger,1m,-34.674,138.358,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0,False,0.0,-34.625,138.375,https://doi.org/10.5281/zenodo.20227730,CC BY 4.0
