model,split,AP_mean,AP_std,Brier_mean,Brier_std,ECE_mean,ECE_std,seconds_mean,seconds_std,top10_recall_mean,top10_recall_std
EcoFusion,test,0.6077526917088713,0.009214865937050348,0.1633678241604713,0.0016822584945175704,0.0480001791435015,0.007028350234358127,2.0934616053333457,0.37796497130776135,0.28571428571428575,0.010989010989010985
EcoTemporalNet,test,0.6077526917088713,0.009214865937050348,0.1633678244495616,0.0016822588042341414,0.048000179228026775,0.0070283500117870506,1.9302095366667043,0.38521634150201495,0.28571428571428575,0.010989010989010985
HistGradientBoosting,test,0.5461592688856766,0.0,0.18010967787518029,0.0,0.048117339065082775,0.0,0.16325206866664152,0.009736659058377513,0.25274725274725274,0.0
Logistic,test,0.595247799276427,0.0,0.1707719236453906,0.0,0.0633399824383346,0.0,0.07366102333332947,0.039484514576912134,0.2857142857142857,0.0
Persistence,test,0.43330616270176714,0.0,0.1795097348720142,0.0,0.01657046769732496,0.0,0.0,0.0,0.23076923076923075,0.0
RandomForest,test,0.5690880019592545,0.0016231076511294316,0.17864944859210893,0.0009275068385213046,0.06765723069229748,0.016704598246181857,0.32682180100001307,0.018762627940413983,0.26373626373626374,0.010989010989011005
Seasonal,test,0.5173498568378576,0.0,0.1783438695007283,0.0,0.050696739195589556,0.0,0.0,0.0,0.21978021978021978,0.0
