sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
china_hk_7d:CN_HongKong:1977-05-01,CN_HongKong,1977-05-01,1977-05-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-08,CN_HongKong,1977-05-08,1977-05-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-15,CN_HongKong,1977-05-15,1977-05-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-05-22,CN_HongKong,1977-05-22,1977-05-29,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:1977-05-29,CN_HongKong,1977-05-29,1977-06-05,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:1977-06-05,CN_HongKong,1977-06-05,1977-06-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-06-12,CN_HongKong,1977-06-12,1977-06-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-06-19,CN_HongKong,1977-06-19,1977-06-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-06-26,CN_HongKong,1977-06-26,1977-07-03,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-07-03,CN_HongKong,1977-07-03,1977-07-10,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-07-10,CN_HongKong,1977-07-10,1977-07-17,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-07-17,CN_HongKong,1977-07-17,1977-07-24,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-07-24,CN_HongKong,1977-07-24,1977-07-31,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-07-31,CN_HongKong,1977-07-31,1977-08-07,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-08-07,CN_HongKong,1977-08-07,1977-08-14,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-08-14,CN_HongKong,1977-08-14,1977-08-21,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-08-21,CN_HongKong,1977-08-21,1977-08-28,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-08-28,CN_HongKong,1977-08-28,1977-09-04,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-09-04,CN_HongKong,1977-09-04,1977-09-11,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-09-11,CN_HongKong,1977-09-11,1977-09-18,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-09-18,CN_HongKong,1977-09-18,1977-09-25,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-09-25,CN_HongKong,1977-09-25,1977-10-02,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-10-02,CN_HongKong,1977-10-02,1977-10-09,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-10-09,CN_HongKong,1977-10-09,1977-10-16,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-10-16,CN_HongKong,1977-10-16,1977-10-23,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-10-23,CN_HongKong,1977-10-23,1977-10-30,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-10-30,CN_HongKong,1977-10-30,1977-11-06,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-11-06,CN_HongKong,1977-11-06,1977-11-13,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-11-13,CN_HongKong,1977-11-13,1977-11-20,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-11-20,CN_HongKong,1977-11-20,1977-11-27,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-11-27,CN_HongKong,1977-11-27,1977-12-04,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-12-04,CN_HongKong,1977-12-04,1977-12-11,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-12-11,CN_HongKong,1977-12-11,1977-12-18,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-12-18,CN_HongKong,1977-12-18,1977-12-25,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1977-12-25,CN_HongKong,1977-12-25,1978-01-01,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-01-01,CN_HongKong,1978-01-01,1978-01-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-01-08,CN_HongKong,1978-01-08,1978-01-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-01-15,CN_HongKong,1978-01-15,1978-01-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-01-22,CN_HongKong,1978-01-22,1978-01-29,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-01-29,CN_HongKong,1978-01-29,1978-02-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-02-05,CN_HongKong,1978-02-05,1978-02-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-02-12,CN_HongKong,1978-02-12,1978-02-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-02-19,CN_HongKong,1978-02-19,1978-02-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-02-26,CN_HongKong,1978-02-26,1978-03-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-03-05,CN_HongKong,1978-03-05,1978-03-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-03-12,CN_HongKong,1978-03-12,1978-03-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-03-19,CN_HongKong,1978-03-19,1978-03-26,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-03-26,CN_HongKong,1978-03-26,1978-04-02,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-04-02,CN_HongKong,1978-04-02,1978-04-09,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-04-09,CN_HongKong,1978-04-09,1978-04-16,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-04-16,CN_HongKong,1978-04-16,1978-04-23,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:1978-04-23,CN_HongKong,1978-04-23,1978-04-30,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:1978-04-30,CN_HongKong,1978-04-30,1978-05-07,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-05-07,CN_HongKong,1978-05-07,1978-05-14,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-05-14,CN_HongKong,1978-05-14,1978-05-21,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-05-21,CN_HongKong,1978-05-21,1978-05-28,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:1978-05-28,CN_HongKong,1978-05-28,1978-06-04,0,22.35,114.2,AFCD_HongKong,0,0.0
