model,seed,split,seconds,parameters,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision,empirical_coverage,ambiguous_fraction,empty_fraction,nominal_coverage,threshold
Seasonal,17,test,0.0,12.0,312,91,0.2916666666666667,0.5173498568378576,0.17834386950072828,0.05069673919558955,0.7031475312018299,0.21978021978021978,0.625,0.9038461538461539,0.4166666666666667,0.0,0.9,0.6767621435417712
Persistence,17,test,0.0,1.0,312,91,0.2916666666666667,0.43330616270176714,0.17950973487201421,0.01657046769732496,0.6819650937297996,0.23076923076923078,0.65625,1.0,1.0,0.0,0.9,0.831601664345864
Logistic,17,test,0.11925342699998964,25.0,312,91,0.2916666666666667,0.595247799276427,0.1707719236453906,0.0633399824383346,0.7196559097011584,0.2857142857142857,0.8125,0.8974358974358975,0.42948717948717946,0.0,0.9,0.761719875549584
RandomForest,17,test,0.34159412999997585,,312,91,0.2916666666666667,0.5695142797667683,0.1781429733011042,0.08129157178415664,0.7066282134155437,0.27472527472527475,0.78125,0.8814102564102564,0.36538461538461536,0.0,0.9,0.7161075419843357
HistGradientBoosting,17,test,0.15519681199998558,,312,91,0.2916666666666667,0.5461592688856766,0.18010967787518029,0.048117339065082775,0.6991198846402467,0.25274725274725274,0.71875,0.907051282051282,0.44551282051282054,0.0,0.9,0.7386983789495836
EcoTemporalNet,17,test,2.374465394000026,2900.0,312,91,0.2916666666666667,0.600172932637721,0.16450113890201917,0.04998711411735292,0.7592859629058725,0.27472527472527475,0.78125,0.8942307692307693,0.3173076923076923,0.0,0.9,0.7169393318103148
EcoFusion,17,test,2.529662206000012,2900.0,312,91,0.2916666666666667,0.600172932637721,0.16450113842831632,0.04998711393709476,0.7592859629058725,0.27472527472527475,0.78125,0.8942307692307693,0.3173076923076923,0.0,0.9,0.7169393477560938
Seasonal,42,test,0.0,12.0,312,91,0.2916666666666667,0.5173498568378576,0.17834386950072828,0.05069673919558955,0.7031475312018299,0.21978021978021978,0.625,0.9038461538461539,0.4166666666666667,0.0,0.9,0.6767621435417712
Persistence,42,test,0.0,1.0,312,91,0.2916666666666667,0.43330616270176714,0.17950973487201421,0.01657046769732496,0.6819650937297996,0.23076923076923078,0.65625,1.0,1.0,0.0,0.9,0.831601664345864
Logistic,42,test,0.05070222599999852,25.0,312,91,0.2916666666666667,0.595247799276427,0.1707719236453906,0.0633399824383346,0.7196559097011584,0.2857142857142857,0.8125,0.8974358974358975,0.42948717948717946,0.0,0.9,0.761719875549584
RandomForest,42,test,0.305710844000032,,312,91,0.2916666666666667,0.5672942954769769,0.179719926116842,0.04902387802990267,0.7013077420317239,0.25274725274725274,0.71875,0.8782051282051282,0.3685897435897436,0.0,0.9,0.7119355547458557
HistGradientBoosting,42,test,0.16048726299993632,,312,91,0.2916666666666667,0.5461592688856766,0.18010967787518029,0.048117339065082775,0.6991198846402467,0.25274725274725274,0.71875,0.907051282051282,0.44551282051282054,0.0,0.9,0.7386983789495836
EcoTemporalNet,42,test,1.7272956570000133,2900.0,312,91,0.2916666666666667,0.6180097339573598,0.16143489732016164,0.053821164894022756,0.7631147133409577,0.2857142857142857,0.8125,0.8942307692307693,0.3269230769230769,0.0,0.9,0.7132942077281816
EcoFusion,42,test,1.8877829199999496,2900.0,312,91,0.2916666666666667,0.6180097339573598,0.16143489738987354,0.053821165107856325,0.7631147133409577,0.2857142857142857,0.8125,0.8942307692307693,0.3269230769230769,0.0,0.9,0.7132942105759617
Seasonal,73,test,0.0,12.0,312,91,0.2916666666666667,0.5173498568378576,0.17834386950072828,0.05069673919558955,0.7031475312018299,0.21978021978021978,0.625,0.9038461538461539,0.4166666666666667,0.0,0.9,0.6767621435417712
Persistence,73,test,0.0,1.0,312,91,0.2916666666666667,0.43330616270176714,0.17950973487201421,0.01657046769732496,0.6819650937297996,0.23076923076923078,0.65625,1.0,1.0,0.0,0.9,0.831601664345864
Logistic,73,test,0.05102741700000024,25.0,312,91,0.2916666666666667,0.595247799276427,0.1707719236453906,0.0633399824383346,0.7196559097011584,0.2857142857142857,0.8125,0.8974358974358975,0.42948717948717946,0.0,0.9,0.761719875549584
RandomForest,73,test,0.3331604290000314,,312,91,0.2916666666666667,0.5704554306340183,0.17808544635838056,0.07265624226283314,0.7094127591865149,0.26373626373626374,0.75,0.875,0.33653846153846156,0.0,0.9,0.7076229985957807
HistGradientBoosting,73,test,0.17407213100000263,,312,91,0.2916666666666667,0.5461592688856766,0.18010967787518029,0.048117339065082775,0.6991198846402467,0.25274725274725274,0.71875,0.907051282051282,0.44551282051282054,0.0,0.9,0.7386983789495836
EcoTemporalNet,73,test,1.688867559000073,6268.0,312,91,0.2916666666666667,0.6050754085315332,0.164167437126504,0.040192258672704644,0.7616229923922232,0.2967032967032967,0.84375,0.8846153846153846,0.2948717948717949,0.0,0.9,0.7140045819904447
EcoFusion,73,test,1.8629396900000756,6268.0,312,91,0.2916666666666667,0.6050754085315332,0.16416743666322403,0.040192258385553424,0.7616229923922232,0.2967032967032967,0.84375,0.8846153846153846,0.2948717948717949,0.0,0.9,0.7140045910366064
