model,split,AP_mean,AP_std,Brier_mean,Brier_std,ECE_mean,ECE_std,seconds_mean,seconds_std,top10_recall_mean,top10_recall_std
Chronos,test,0.47067124229201246,0.0,0.19027581233542112,0.0,0.04062814109891229,0.0,8.736019422000027,0.0,0.21978021978021978,0.0
Chronos+EcoFusion,test,0.6077526917088713,0.009214865937050348,0.1633678241604713,0.0016822584945175704,0.0480001791435015,0.007028350234358127,10.638897161666591,0.12877301230256358,0.28571428571428575,0.010989010989010985
EcoFusion,test,0.6077526917088713,0.009214865937050348,0.1633678241604713,0.0016822584945175704,0.0480001791435015,0.007028350234358127,1.9028777396665646,0.12877301230256358,0.28571428571428575,0.010989010989010985
EcoTemporalNet,test,0.6077526917088713,0.009214865937050348,0.1633678244495616,0.0016822588042341414,0.048000179228026775,0.0070283500117870506,1.6423043306665477,0.13070781419988656,0.28571428571428575,0.010989010989010985
HistGradientBoosting,test,0.5461592688856766,0.0,0.18010967787518029,0.0,0.048117339065082775,0.0,0.2605734090000169,0.02289403784468125,0.25274725274725274,0.0
Logistic,test,0.595247799276427,0.0,0.1707719236453906,0.0,0.0633399824383346,0.0,0.07406118000002,0.07803439077672296,0.2857142857142857,0.0
Persistence,test,0.43330616270176714,0.0,0.1795097348720142,0.0,0.01657046769732496,0.0,0.0,0.0,0.23076923076923075,0.0
RandomForest,test,0.5690880019592545,0.0016231076511294316,0.17864944859210893,0.0009275068385213046,0.0676572306922975,0.016704598246181868,0.3331719086666756,0.021027277797896503,0.26373626373626374,0.010989010989011005
Seasonal,test,0.5173498568378576,0.0,0.1783438695007283,0.0,0.050696739195589556,0.0,0.0,0.0,0.21978021978021978,0.0
