sample_id,site,origin_date,label_date,y,latitude,longitude,source,last_observed_event,target_value
china_hk_7d:CN_HongKong:2018-12-30,CN_HongKong,2018-12-30,2019-01-06,1,22.35,114.2,AFCD_HongKong,0,3.0
china_hk_7d:CN_HongKong:2019-01-06,CN_HongKong,2019-01-06,2019-01-13,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2019-01-13,CN_HongKong,2019-01-13,2019-01-20,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-01-20,CN_HongKong,2019-01-20,2019-01-27,1,22.35,114.2,AFCD_HongKong,0,1.0
china_hk_7d:CN_HongKong:2019-01-27,CN_HongKong,2019-01-27,2019-02-03,1,22.35,114.2,AFCD_HongKong,1,5.0
china_hk_7d:CN_HongKong:2019-02-03,CN_HongKong,2019-02-03,2019-02-10,1,22.35,114.2,AFCD_HongKong,1,5.0
china_hk_7d:CN_HongKong:2019-02-10,CN_HongKong,2019-02-10,2019-02-17,1,22.35,114.2,AFCD_HongKong,1,9.0
china_hk_7d:CN_HongKong:2019-02-17,CN_HongKong,2019-02-17,2019-02-24,1,22.35,114.2,AFCD_HongKong,1,1.0
china_hk_7d:CN_HongKong:2019-02-24,CN_HongKong,2019-02-24,2019-03-03,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2019-03-03,CN_HongKong,2019-03-03,2019-03-10,1,22.35,114.2,AFCD_HongKong,0,2.0
china_hk_7d:CN_HongKong:2019-03-10,CN_HongKong,2019-03-10,2019-03-17,1,22.35,114.2,AFCD_HongKong,1,4.0
china_hk_7d:CN_HongKong:2019-03-17,CN_HongKong,2019-03-17,2019-03-24,1,22.35,114.2,AFCD_HongKong,1,2.0
china_hk_7d:CN_HongKong:2019-03-24,CN_HongKong,2019-03-24,2019-03-31,1,22.35,114.2,AFCD_HongKong,1,4.0
china_hk_7d:CN_HongKong:2019-03-31,CN_HongKong,2019-03-31,2019-04-07,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2019-04-07,CN_HongKong,2019-04-07,2019-04-14,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-04-14,CN_HongKong,2019-04-14,2019-04-21,1,22.35,114.2,AFCD_HongKong,0,2.0
china_hk_7d:CN_HongKong:2019-04-21,CN_HongKong,2019-04-21,2019-04-28,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2019-04-28,CN_HongKong,2019-04-28,2019-05-05,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-05-05,CN_HongKong,2019-05-05,2019-05-12,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-05-12,CN_HongKong,2019-05-12,2019-05-19,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-05-19,CN_HongKong,2019-05-19,2019-05-26,1,22.35,114.2,AFCD_HongKong,0,4.0
china_hk_7d:CN_HongKong:2019-05-26,CN_HongKong,2019-05-26,2019-06-02,1,22.35,114.2,AFCD_HongKong,1,5.0
china_hk_7d:CN_HongKong:2019-06-02,CN_HongKong,2019-06-02,2019-06-09,0,22.35,114.2,AFCD_HongKong,1,0.0
china_hk_7d:CN_HongKong:2019-06-09,CN_HongKong,2019-06-09,2019-06-16,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-06-16,CN_HongKong,2019-06-16,2019-06-23,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-06-23,CN_HongKong,2019-06-23,2019-06-30,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-06-30,CN_HongKong,2019-06-30,2019-07-07,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-07-07,CN_HongKong,2019-07-07,2019-07-14,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-07-14,CN_HongKong,2019-07-14,2019-07-21,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-07-21,CN_HongKong,2019-07-21,2019-07-28,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-07-28,CN_HongKong,2019-07-28,2019-08-04,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-08-04,CN_HongKong,2019-08-04,2019-08-11,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-08-11,CN_HongKong,2019-08-11,2019-08-18,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-08-18,CN_HongKong,2019-08-18,2019-08-25,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-08-25,CN_HongKong,2019-08-25,2019-09-01,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-09-01,CN_HongKong,2019-09-01,2019-09-08,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-09-08,CN_HongKong,2019-09-08,2019-09-15,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-09-15,CN_HongKong,2019-09-15,2019-09-22,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-09-22,CN_HongKong,2019-09-22,2019-09-29,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-09-29,CN_HongKong,2019-09-29,2019-10-06,0,22.35,114.2,AFCD_HongKong,0,0.0
china_hk_7d:CN_HongKong:2019-10-06,CN_HongKong,2019-10-06,2019-10-13,0,22.35,114.2,AFCD_HongKong,0,0.0
