model,reference,seed,split,delta_ap_low,delta_ap_high,valid_replicates
EcoTemporalNet,Logistic,17,spatial_test,-0.16585033418950745,0.0654100035434133,500
EcoTemporalNet,RandomForest,17,spatial_test,-0.04234158823084959,0.10178611992377168,500
EcoTemporalNet,HistGradientBoosting,17,spatial_test,-0.12171314795104748,0.014406851979125921,500
EcoFusion,Logistic,17,spatial_test,-0.10138564774845377,0.13534098913880963,500
EcoFusion,RandomForest,17,spatial_test,0.028521847142935545,0.16422713038300382,500
EcoFusion,HistGradientBoosting,17,spatial_test,-0.008426535862085405,0.03479351788562317,500
EcoTemporalNet,Logistic,17,test,-0.02706226438808288,0.031308847249756064,500
EcoTemporalNet,RandomForest,17,test,-0.028339344662280542,0.04957750576948588,500
EcoTemporalNet,HistGradientBoosting,17,test,-0.0567003973299321,0.030294999758752276,500
EcoFusion,Logistic,17,test,-0.018947600436246916,0.05175530663403758,500
EcoFusion,RandomForest,17,test,0.0027010496347131536,0.05451940359426649,500
EcoFusion,HistGradientBoosting,17,test,-0.011409729053525186,0.015627600658724313,500
EcoTemporalNet,Logistic,42,spatial_test,-0.07118929215693219,0.12870720984527778,500
EcoTemporalNet,RandomForest,42,spatial_test,-0.043976333786750914,0.14952820582379922,500
EcoTemporalNet,HistGradientBoosting,42,spatial_test,-0.0917016178464564,0.08703217017949051,500
EcoFusion,Logistic,42,spatial_test,-0.0852208429018317,0.14477520612318215,500
EcoFusion,RandomForest,42,spatial_test,0.016039294337321007,0.16443779610371015,500
EcoFusion,HistGradientBoosting,42,spatial_test,-0.018217723913182746,0.05721915945847651,500
EcoTemporalNet,Logistic,42,test,-0.027292888518420898,0.005458089759142619,500
EcoTemporalNet,RandomForest,42,test,-0.060968314162553265,0.023413800543026535,500
EcoTemporalNet,HistGradientBoosting,42,test,-0.06388499251847385,0.0071721749832669894,500
EcoFusion,Logistic,42,test,-0.01583405065432322,0.044294343942938484,500
EcoFusion,RandomForest,42,test,-0.03389080655233758,0.02829628974061374,500
EcoFusion,HistGradientBoosting,42,test,-0.019165734639409286,0.010007458985381282,500
EcoTemporalNet,Logistic,73,spatial_test,-0.17706834352208678,0.11177328990795461,500
EcoTemporalNet,RandomForest,73,spatial_test,-0.027386856150702975,0.047326424334909974,500
EcoTemporalNet,HistGradientBoosting,73,spatial_test,-0.10529574496157736,0.016220913018449024,500
EcoFusion,Logistic,73,spatial_test,-0.08733563762645659,0.13678790602562743,500
EcoFusion,RandomForest,73,spatial_test,0.018864370196176053,0.09304046225271186,500
EcoFusion,HistGradientBoosting,73,spatial_test,-0.020472593228720085,0.03457680613358317,500
EcoTemporalNet,Logistic,73,test,-0.030771415344413716,0.01628865545611873,500
EcoTemporalNet,RandomForest,73,test,-0.06213634315730785,0.0191884051804943,500
EcoTemporalNet,HistGradientBoosting,73,test,-0.06886691412675859,0.011959561427656988,500
EcoFusion,Logistic,73,test,-0.01413287935849861,0.04823668770263238,500
EcoFusion,RandomForest,73,test,-0.023084520191007377,0.051348506014209545,500
EcoFusion,HistGradientBoosting,73,test,-0.014153898790036288,0.0110229800180347,500
