model,seed,split,year,n,positives,prevalence,AP,Brier,ECE,ROC_AUC,top10_recall,top10_precision
Seasonal,17,test,2020,14,3,0.21428571428571427,0.21428571428571427,0.20637441784696994,0.19495402254940644,0.5,0.3333333333333333,0.5
Seasonal,17,test,2021,1402,101,0.07203994293865906,0.06175413748901133,0.07182991376413686,0.06724960858146141,0.42980266512431414,0.0594059405940594,0.0425531914893617
Seasonal,17,test,2022,92,6,0.06521739130434782,0.3333333333333333,0.06290119217852347,0.05717879689170177,0.8895348837209303,0.16666666666666666,0.1
Seasonal,17,test,2023,89,7,0.07865168539325842,0.14285714285714285,0.07939653755109768,0.08048317636563762,0.5182926829268293,0.0,0.0
Seasonal,17,test,2024,1744,41,0.023509174311926607,0.06153384557711932,0.023281870294139133,0.015653067755471765,0.7986408490039099,0.14634146341463414,0.03428571428571429
Seasonal,17,test,2025,2065,25,0.012106537530266344,0.0705023189543624,0.0117762324232507,0.0055388846577394905,0.8986666666666666,0.48,0.057971014492753624
Seasonal,17,test,2026,1786,0,0.0,,0.0001312287952708487,0.005956330853514958,,,0.0
Seasonal,17,spatial_test,2020,5,0,0.0,,0.0003737143053876337,0.01933169173630784,,,0.0
Seasonal,17,spatial_test,2021,339,10,0.029498525073746312,0.02528902117153449,0.029811320857547292,0.023960162902385895,0.16656534954407295,0.0,0.0
Seasonal,17,spatial_test,2022,46,1,0.021739130434782608,0.125,0.02143824504004622,0.01674939556580319,0.8666666666666667,0.0,0.0
Seasonal,17,spatial_test,2023,50,3,0.06,0.125,0.06171377576902163,0.07066962081899947,0.5638297872340425,0.0,0.0
Seasonal,17,spatial_test,2024,442,20,0.04524886877828054,0.1739701622217445,0.03900488063156168,0.01478252058771108,0.861196682464455,0.2,0.08888888888888889
Seasonal,17,spatial_test,2025,468,5,0.010683760683760684,0.058823529411764705,0.010987367688325539,0.008955415195542627,0.8768898488120951,0.4,0.0425531914893617
Seasonal,17,spatial_test,2026,332,0,0.0,,0.00011152063026546429,0.005343575243859521,,,0.0
Persistence,17,test,2020,14,3,0.21428571428571427,0.5158730158730158,0.11922529923746063,0.08052023346914099,0.7878787878787877,0.3333333333333333,0.5
Persistence,17,test,2021,1402,101,0.07203994293865906,0.14333523223934375,0.07088763635096632,0.056465023532374495,0.6382942291154557,0.3465346534653465,0.24822695035460993
Persistence,17,test,2022,92,6,0.06521739130434782,0.4076086956521739,0.04148212061313788,0.02409283230553657,0.7441860465116279,0.5,0.3
Persistence,17,test,2023,89,7,0.07865168539325842,0.3020866773675762,0.0572307971294735,0.030638199828223397,0.7020905923344948,0.8571428571428571,0.6666666666666666
Persistence,17,test,2024,1744,41,0.023509174311926607,0.12638453792794807,0.02127497987679279,0.0039858112017693665,0.6404694728098191,0.2926829268292683,0.06857142857142857
Persistence,17,test,2025,2065,25,0.012106537530266344,0.05132540267396569,0.015289193400575064,0.01751855665862364,0.6304411764705882,0.88,0.10628019323671498
Persistence,17,test,2026,1786,0,0.0,,0.001184572458872872,0.019061627867744114,,,0.0
Persistence,17,spatial_test,2020,5,0,0.0,,0.00030776503971275315,0.017543233445199105,,,0.0
Persistence,17,spatial_test,2021,339,10,0.029498525073746312,0.05996245642263342,0.032534328731534695,0.018893422899515518,0.586322188449848,0.2,0.058823529411764705
Persistence,17,spatial_test,2022,46,1,0.021739130434782608,0.021739130434782608,0.03490134663444298,0.02930272110364775,0.4777777777777778,0.0,0.0
Persistence,17,spatial_test,2023,50,3,0.06,0.75,0.01817376730823887,0.03134667707532089,0.9893617021276595,1.0,0.6
Persistence,17,spatial_test,2024,442,20,0.04524886877828054,0.14417420814479637,0.040581417916135815,0.02145973323800372,0.6381516587677726,0.3,0.13333333333333333
Persistence,17,spatial_test,2025,468,5,0.010683760683760684,0.2614163614163614,0.008347752240604831,0.014971851851463111,0.7956803455723542,0.8,0.0851063829787234
Persistence,17,spatial_test,2026,332,0,0.0,,0.00030776503971275315,0.0175432334451991,,,0.0
Logistic,17,test,2020,14,3,0.21428571428571427,0.5888888888888889,0.14949761534776912,0.20404885982437213,0.8787878787878787,0.3333333333333333,0.5
Logistic,17,test,2021,1402,101,0.07203994293865906,0.18319725617957577,0.06485474656429664,0.03174885542234717,0.7693548755336718,0.3069306930693069,0.2198581560283688
Logistic,17,test,2022,92,6,0.06521739130434782,0.7695378151260504,0.04128860129960759,0.03475613989372814,0.9709302325581395,0.8333333333333334,0.5
Logistic,17,test,2023,89,7,0.07865168539325842,0.638126159554731,0.06493283618610905,0.054412094372002284,0.9634146341463414,0.5714285714285714,0.4444444444444444
