epoch,validation_log_loss
1,0.2593662250798418
2,0.2434578732289223
3,0.23811270721772373
4,0.23999993751414356
5,0.2387486749709904
6,0.23699745484802998
7,0.24358792722837974
8,0.2423762684432711
9,0.24007456037890032
10,0.2410179501291024
