species,summed_cells_l_across_samples,peak_cells_l,detected_samples,detection_share
K. cristata,112390238.61531286,15015439.54,100,0.8695652173913043
K. papilionacea,9944619.787567701,9734770.013,5,0.043478260869565216
K. mikimotoi,4281641.200858315,2880934.89,90,0.782608695652174
K. brevisulcata,215237.01325055904,45739.85563,86,0.7478260869565218
K. longicanalis,10565.191406655998,5627.499728,15,0.13043478260869565
K. brevis,0.0,0.0,0,0.0
K. hui,0.0,0.0,0,0.0
