model,seeds,ap_median,ap_mean,ap_sd,brier_mean,ece_mean,fit_seconds_mean,complexity,test_rows,test_events
Logistic,5,0.6239106974651577,0.6239106974651577,0.0,0.0782465983414427,0.03889606092121233,0.038238768599876495,7个预测系数,177,26
Random Forest,5,0.6460066877489693,0.6390203313636313,0.020505433267352997,0.0833481847536284,0.07100172167058585,0.41824320859977887,120棵树,177,26
轻量TCN,5,0.6031093611409597,0.6036970784819162,0.041771708535805675,0.11938416395820331,0.15883987686855622,1.3789212212001076,119个可训练参数,177,26
